"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"3";"";"1X02_5MM_SCREW";"W237-102";"X23, X24, X27";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";
"9";"";"C-EUC0805";"C0805";"C1, C2, C3, C4, C9, C10, C11, C12, C13";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"1";"";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"19";"";
"16";"";"MOSFET-NREFLOW";"SOT23";"Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q11, Q13, Q15, Q17, Q19, Q21, Q23, Q25";"N-Channel Mosfet";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP14";"PIN HEADER";"";"";"";"";"92";"";
"1";"";"PINHD-1X5";"1X05";"JP13";"PIN HEADER";"";"";"";"";"69";"";
"1";"";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"";"62";"";
"1";"";"PTCFUSE-1812";"1812";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"SJ2";"SMD solder JUMPER";"";"";"";"";"7";"";
"1";"";"USBMINIB";"USB-MINIB";"CN1";"USB Connectors";"";"";"";"";"";"";
"2";"0.1uF";"C-EUC0805";"C0805";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"31";"10K";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R8, R10, R12, R14, R16, R18, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R40, R42, R44, R46, R48, R50, R52, R54, R56, R57, R58";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"25";"1K";"R-EU_R0805";"R0805";"R7, R9, R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R31, R33, R35, R37, R39, R41, R43, R45, R47, R49, R51, R53, R55";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"2";"22uF";"C-EUC0805";"C0805";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"1";"4.3K";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"2";"74LS595D";"74LS595D";"SO16";"IC10, IC11";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"0";"";
"1";"82K";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"AD5111ADLFCSP10";"AD5111ADLFCSP10";"SON50P200X200X80-9T100X160N";"U3";"";"";"";"";"";"";"";
"1";"ATMEGA328PBTQFP-32";"ATMEGA328PBTQFP-32";"QFP80P900X900X120-32N";"U1";"";"";"";"";"";"";"";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";"";"";"";"";
"9";"FDN360P";"FDN360P";"SUPER-SOT3";"Q10, Q12, Q14, Q16, Q18, Q20, Q22, Q24, Q26";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"2";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"F2, F3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";
"4";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"X15, X16, X17, X18";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"4";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"X19, X20, X21, X22";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"4";"JST-XH-06-PIN-LONG-PAD";"JST-XH-06-PIN-LONG-PAD";"JST-XH-06-PACKAGE-LONG-PAD";"X10, X11, X12, X13";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"1";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PACKAGE-LONG-PAD";"X14";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"9";"JST-XH-08-PIN-LONG-PAD";"JST-XH-08-PIN-LONG-PAD";"JST-XH-08-PACKAGE-LONG-PAD";"X1, X2, X3, X4, X5, X6, X7, X8, X9";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"1";"LM380NDIP14";"LM380NDIP14";"DIP762W53P254L1969H508Q14B";"U2";"";"";"";"";"";"";"";
"1";"MOMENTARYBUTTON";"MOMENTARYBUTTON";"SPST_NO_SMD";"SW2";"";"";"";"";"";"";"";
"1";"MT3608SOT23-6";"MT3608SOT23-6";"SOT95P280X110-6N";"U$1";"";"";"";"";"";"";"";
"1";"SLD10D40S100MTT";"SLD10D40S100MTT";"SMD10.5X10.3";"L1";"";"";"";"";"";"";"";
"1";"SS34";"SS34";"SMA";"D1";"";"";"";"";"";"";"";
