#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,2,0,0,409.87,101.73,90.00,0805,2.2nF,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,3,0,1,409.85,115.04,90.00,0805,10uF,0.50,0,1.00,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,4,0,1,409.95,128.58,90.00,0805,1.0uF,0.50,0,1.00,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,6,0,1,409.67,155.74,90.00,0805,22uF,0.50,0,1.00,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,7,0,1,409.52,168.95,90.00,0805,220pF,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,9,0,1,410.02,262.96,90.00,0805,2M,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,10,0,1,409.79,276.41,90.00,0805,2R,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,11,0,1,410.07,289.90,90.00,0805,100K,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,14,0,1,410.04,330.72,90.00,0805,1M,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,15,0,1,409.71,344.21,90.00,0805,470R,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,17,0,1,410.50,374.14,90.00,2512,0.01R,0.50,0,0.60,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,18,0,4,409.90,389.44,90.00,D/7434-21,100uF,0.50,0,2.30,0,No,-40,1,10,8,50,80,No,No,-10,-10,-10,-10,
stack,21,0,1,23.04,37.43,-90.00,SOT23,0.1uF,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,22,0,1,23.24,51.09,-90.00,0805,2.2uF,0.50,0,1.00,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,27,0,1,23.29,119.48,-90.00,0805,4k7,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,28,0,1,24.15,132.82,-90.00,0805,27R,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,29,0,1,23.46,146.66,-90.00,0805,47pF,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,33,0,1,22.89,201.04,-90.00,0805,10K,0.50,0,0.50,0,No,-40,1,10,4,50,80,No,No,-10,-10,-10,-10,
stack,39,0,2,23.92,283.60,-90.00,3535,LEDRGB,0.50,0,1.60,0,No,0,1,10,8,50,80,No,No,-10,-10,-10,-10,
stack,41,0,1,23.82,320.50,-90.00,SRN6045TA-1R0Y,1uH,0.50,0,5.00,0,No,-40,1,10,8,50,80,No,No,-10,-10,-10,-10,
stack,78,1,1,150.00,290.00,0.00,SOIC127P600X175-8N,LT1963ES8-3.3PBF,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,79,1,1,150.00,300.00,0.00,SC70-6,MBT3904DW1T1,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,80,1,1,150.00,310.00,0.00,,WS2812B,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,81,1,1,150.00,320.00,0.00,TSSOP29,PCM5100,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,82,1,1,150.00,330.00,0.00,TQFP44,CY8C4245,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,83,1,1,150.00,340.00,0.00,TPTP10R,TP10R,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,84,1,1,150.00,350.00,0.00,SPH0645LM4H,MIC_I2S_SPH0645,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,0.00,1,1,No,No,-10,-10,-10,-10,
stack,85,1,1,150.00,360.00,0.00,SOIC127P600X175-8N,IRF9358TRPBF,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,86,1,1,150.00,370.00,0.00,SOT23-5,M74VHC1GT125DF2G,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,87,1,1,150.00,380.00,0.00,SLOT,SLOT,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,88,1,1,150.00,390.00,0.00,SOIC127P600X170-9N,DIO7320,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,89,1,1,150.00,400.00,0.00,,SC70-6,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,90,1,1,132.64,217.56,0.00,QFN40P300X300X105-25N,MPU-9250,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,91,1,1,121.00,217.52,0.00,QFN24,IP5209,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,92,1,1,97.88,211.92,0.00,ESP-WROOM-32,ESP-WROOM-32,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,93,1,4,159.49,227.05,0.00,SPST_SMT_19192,BM06B-SRSS-TB,1.10,0,1.40,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,94,1,4,146.93,227.88,0.00,1206,LED RED,1.00,0,1.50,1,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,95,1,1,134.39,227.57,0.00,24X16_RGB_LED5MM_RGB_EDGE,WS2812B,0.50,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,96,1,4,120.06,227.38,0.00,QFN20,FT231XQ,0.70,0,2.70,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,97,1,4,107.73,227.09,0.00,FIDUCIAL_1MM,FIDUCIAL,0.70,0,2.70,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
stack,98,1,1,92.27,226.88,0.00,0805,couple pf -DNP,-1.00,0,0.00,0,No,-40,1,10,1,1,80.00,1.00,1,1,No,No,-10,-10,-10,-10,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,86.585,41.675,145.640,114.065,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
mirror_create,1,1,86.585,41.675,0,0,0,0,0.000000,
mirror,86.585,41.675,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,AF1,FIDUCIAL,FIDUCIAL_1MM,86.59,41.68,0,No,
comp,1,1,AF2,FIDUCIAL,FIDUCIAL_1MM,145.64,114.06,0,No,
comp,2,1,C1,0.1uF,C0805,86.59,104.54,-90,No,
comp,40,1,D1,SS34,SMA,106.27,86.13,90,No,
comp,40,1,D2,SS34,SMA,118.97,86.13,90,No,
comp,40,1,D3,SS34,SMA,131.04,86.13,90,No,
comp,40,1,D4,SS34,SMA,106.27,65.17,90,No,
comp,40,1,D5,SS34,SMA,118.97,65.17,90,No,
comp,40,1,D6,SS34,SMA,131.67,65.17,90,No,
comp,40,1,D7,SS34,SMA,106.27,44.22,90,No,
comp,40,1,D8,SS34,SMA,118.97,44.22,90,No,
comp,40,1,D9,SS34,SMA,131.04,44.22,90,No,
comp,5,1,IC1,74HC595D,SO16,93.57,102.64,0,Yes,
comp,47,1,Q1,AO3414SOT23,SOT95P240X110-3N,91.67,87.40,-90,No,
comp,47,1,Q2,AO3414SOT23,SOT95P240X110-3N,91.67,66.44,-90,No,
comp,47,1,Q3,AO3414SOT23,SOT95P240X110-3N,91.67,53.11,-90,No,
comp,47,1,Q4,AO3414SOT23,SOT95P240X110-3N,108.18,98.19,-90,No,
comp,47,1,Q5,AO3414SOT23,SOT95P240X110-3N,120.88,98.19,-90,No,
comp,47,1,Q6,AO3414SOT23,SOT95P240X110-3N,133.58,98.19,-90,No,
comp,48,1,Q7,AO3415,SOT95P240X110-3N,104.37,98.19,-90,No,
comp,48,1,Q8,AO3415,SOT95P240X110-3N,117.06,98.19,-90,No,
comp,48,1,Q9,AO3415,SOT95P240X110-3N,129.77,98.19,-90,No,
comp,6,1,R1,1K,R0805,114.53,102.64,-90,No,
comp,6,1,R2,1K,R0805,122.15,102.64,-90,No,
comp,4,1,R3,10K,R0805,119.61,102.64,-90,No,
comp,4,1,R4,10K,R0805,117.06,102.64,-90,No,
comp,6,1,R5,1K,R0805,101.83,102.64,-90,No,
comp,6,1,R6,1K,R0805,127.23,102.64,-90,No,
comp,6,1,R7,1K,R0805,92.94,91.84,-90,No,
comp,4,1,R8,10K,R0805,90.40,91.84,-90,No,
comp,6,1,R9,1K,R0805,109.45,102.64,-90,No,
comp,6,1,R10,1K,R0805,134.84,102.64,-90,No,
comp,4,1,R11,10K,R0805,106.91,102.64,-90,No,
comp,4,1,R12,10K,R0805,104.37,102.64,-90,No,
comp,4,1,R13,10K,R0805,132.31,102.64,-90,No,
comp,4,1,R14,10K,R0805,129.77,102.64,-90,No,
comp,6,1,R15,1K,R0805,92.94,70.89,-90,No,
comp,4,1,R16,10K,R0805,90.40,70.89,-90,No,
comp,6,1,R17,1K,R0805,92.94,57.55,-90,No,
comp,4,1,R18,10K,R0805,90.40,57.55,-90,No,
